000.jpg,0,5,5997,3995,paved-area
000.jpg,4831,1,6000,674,wall
000.jpg,5286,0,5999,366,paved-area
000.jpg,0,0,587,1193,gravel
000.jpg,5329,423,5998,1052,gravel
000.jpg,0,0,185,495,vegetation
000.jpg,24,261,78,402,dirt
000.jpg,5047,0,5998,557,gravel
000.jpg,5632,233,5998,741,obstacle
000.jpg,5670,462,5794,583,vegetation
000.jpg,5506,685,5997,1048,vegetation
000.jpg,2667,2994,4077,3999,wall
000.jpg,2726,3063,4007,3999,dirt
000.jpg,2577,2757,3582,3366,obstacle
000.jpg,3488,2669,3803,3000,obstacle
000.jpg,5275,584,5653,876,obstacle
000.jpg,2240,56,2259,76,obstacle
000.jpg,2774,215,2997,533,obstacle
000.jpg,2530,868,2870,1207,obstacle
000.jpg,34,907,260,1142,obstacle
000.jpg,749,2659,854,2787,obstacle
000.jpg,2940,2727,3073,3107,obstacle
000.jpg,2370,0,2507,180,person
000.jpg,2661,0,2972,485,person
000.jpg,1,674,541,979,person
000.jpg,0,1240,225,1400,person
000.jpg,411,2571,1008,2956,person
000.jpg,1864,3730,2129,3998,person
000.jpg,2636,3596,2902,3966,person
000.jpg,2370,3215,2647,3625,person
000.jpg,2855,2726,3166,3181,person
000.jpg,3081,2595,3339,3062,person
000.jpg,3259,3265,3392,3372,vegetation
000.jpg,2849,3292,3239,3537,vegetation
000.jpg,2985,3549,3196,3762,vegetation
000.jpg,2679,3149,4283,3997,tree
000.jpg,4295,3913,4512,3999,tree
000.jpg,2354,3964,2558,3999,tree
001.jpg,331,0,4993,3851,paved-area
001.jpg,1600,2131,1959,2465,ar-marker
001.jpg,3024,0,5985,3998,vegetation
001.jpg,3783,0,5994,3998,grass
001.jpg,2777,1670,3129,1974,grass
001.jpg,903,3541,2366,3998,wall
001.jpg,1391,3836,1679,3994,window
001.jpg,2801,2065,3254,2310,gravel
001.jpg,184,354,597,1688,paved-area
001.jpg,894,3151,3012,3998,paved-area
001.jpg,895,3539,2361,3998,wall
001.jpg,1831,3881,2084,3998,door
001.jpg,2,3547,952,3998,roof
001.jpg,400,3348,856,3727,roof
001.jpg,333,3307,1101,3963,wall
001.jpg,2,2,4700,3998,vegetation
001.jpg,3437,3638,4421,3998,paved-area
001.jpg,3457,3675,4386,3996,fence
001.jpg,3620,3682,3714,3896,fence-pole
001.jpg,3840,4,5982,3859,fence
001.jpg,5402,3126,5635,3247,fence-pole
001.jpg,5124,2552,5278,2612,fence-pole
001.jpg,4741,1910,4806,1930,fence-pole
001.jpg,4443,1218,4552,1284,fence-pole
001.jpg,4115,513,4217,635,fence-pole
001.jpg,2,2,3361,3998,fence
001.jpg,3793,3258,4118,3675,obstacle
001.jpg,3620,3677,3716,3902,fence-pole
001.jpg,2263,3558,2364,3757,fence-pole
001.jpg,1658,3301,1821,3455,fence-pole
001.jpg,1063,3031,1307,3170,fence-pole
001.jpg,734,2360,984,2413,fence-pole
001.jpg,77,920,372,1046,fence-pole
001.jpg,214,565,541,742,fence-pole
001.jpg,511,1677,723,1720,fence-pole
